ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Classification,Family_Glottocode,Family_Name,Language_Glottocode,Language_Name,Level,Status
gurm1250,Gurma B,,,,gurm1250,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249,atla1278,Atlantic-Congo,,,family,
akas1242,Akaselem,Africa,8.8858,1.37035,akas1242,aks,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/ntch1241,atla1278,Atlantic-Congo,akas1242,Akaselem,language,not endangered
ntch1242,Ntcham,Africa,9.23971,0.599275,ntch1242,bud,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/ntch1241,atla1278,Atlantic-Congo,ntch1242,Ntcham,language,not endangered
ncan1244,Ncanm,Africa,,,ncan1244,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/ntch1241/ntch1242,atla1278,Atlantic-Congo,ntch1242,Ntcham,dialect,
lina1243,Linangmanli,Africa,,,lina1243,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/ntch1241/ntch1242,atla1278,Atlantic-Congo,ntch1242,Ntcham,dialect,
ntaa1241,Ntaapum,Africa,,,ntaa1241,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/ntch1241/ntch1242,atla1278,Atlantic-Congo,ntch1242,Ntcham,dialect,
ceem1238,Ceemba,Africa,,,ceem1238,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/ntch1241/ntch1242,atla1278,Atlantic-Congo,ntch1242,Ntcham,dialect,
bita1250,Bitaapul,Africa,,,bita1250,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/ntch1241/ntch1242,atla1278,Atlantic-Congo,ntch1242,Ntcham,dialect,
gour1248,Gourmantche-Moba,,,,gour1248,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250,atla1278,Atlantic-Congo,,,family,
konk1271,Konkomba-Gangam,,,,konk1271,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250,atla1278,Atlantic-Congo,,,family,
moba1243,Moba-Bimoba,,,,moba1243,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/gour1248,atla1278,Atlantic-Congo,,,family,
gour1243,Gourmanchéma,Africa,11.6711,1.28489,gour1243,gux,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/gour1248,atla1278,Atlantic-Congo,gour1243,Gourmanchéma,language,not endangered
bimo1239,Bimoba,Africa,10.4575,0.06121,bimo1239,bim,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/gour1248/moba1243,atla1278,Atlantic-Congo,bimo1239,Bimoba,language,threatened
moba1244,Moba,Africa,10.9496,0.159565,moba1244,mfq,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/gour1248/moba1243,atla1278,Atlantic-Congo,moba1244,Moba,language,not endangered
natc1248,Natchaba,Africa,,,natc1248,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/gour1248/moba1243/moba1244,atla1278,Atlantic-Congo,moba1244,Moba,dialect,
cent2024,Central Gourmanchema,Africa,,,cent2024,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/gour1248/gour1243,atla1278,Atlantic-Congo,gour1243,Gourmanchéma,dialect,
nort2778,Northern Gourmanchema,Africa,,,nort2778,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/gour1248/gour1243,atla1278,Atlantic-Congo,gour1243,Gourmanchéma,dialect,
sout2788,Southern Gourmanchema,Africa,,,sout2788,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/gour1248/gour1243,atla1278,Atlantic-Congo,gour1243,Gourmanchéma,dialect,
ngan1299,Ngangam,Africa,10.2523,0.70509,ngan1299,gng,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/konk1271,atla1278,Atlantic-Congo,ngan1299,Ngangam,language,not endangered
