"","LID","Glottocode"
"1106",1286,"cent2127"
"1107",1287,"shua1254"
"1108",1288,"even1259"
"1109",1289,"ewee1241"
"1110",1290,"adam1253"
"1111",1291,"pula1263"
"1112",1292,"west2454"
"1113",1293,"sout2789"
"1114",1294,"casi1235"
"1115",1295,"stan1295"
"1116",1296,"stan1295"
"1117",1297,"stan1295"
"1118",1298,"stan1295"
"1119",1299,"stan1295"
"1120",1300,"done1238"
"1121",1301,"muns1250"
"1122",1302,"gamo1243"
"1123",1303,"dawr1236"
"1124",1304,"cypr1249"
"1125",1305,"swis1247"
"1126",1306,"swis1247"
"1127",1307,"swis1247"
"1128",1308,"swis1247"
"1129",1309,"swis1247"
"1130",1310,"swis1247"
"1131",1311,"guah1255"
"1132",1312,"gour1243"
"1133",1313,"seba1251"
"1134",1314,"seba1251"
"1135",1315,"hebr1245"
"1136",1316,"dako1258"
"1137",1317,"dhim1246"
"1138",1318,"dhar1247"
"1139",1319,"dhur1239"
"1140",1320,"lako1244"
"1141",1321,"didi1258"
"1142",1322,"egaa1242"
"1143",1323,"dime1235"
"1144",1324,"indo1316"
"1145",1325,"indo1316"
"1146",1326,"dink1262"
"1147",1327,"dima1251"
"1148",1328,"fior1235"
"1149",1329,"ivat1242"
"1150",1330,"ding1239"
"1151",1331,"djam1255"
"1152",1332,"zarm1239"
"1153",1333,"djin1253"
"1154",1334,"ndyu1242"
"1155",1335,"djam1256"
"1156",1336,"kapr1245"
"1157",1337,"katc1249"
"1158",1338,"katc1249"
"1159",1339,"kirg1245"
"1160",1340,"kuma1273"
"1161",1341,"kalm1243"
"1162",1342,"kalm1243"
"1163",1343,"oira1263"
"1164",1344,"gami1243"
"1165",1345,"khor1269"
"1166",1346,"khor1269"
"1167",1348,"kenu1243"
"1168",1349,"vili1238"
"1169",1350,"komi1268"
"1170",1351,"dolg1241"
"1171",1352,"luba1249"
"1172",1353,"duma1253"
"1173",1354,"bath1244"
"1174",1355,"sanm1295"
"1175",1356,"doma1260"
"1176",1357,"mala1479"
"1177",1358,"mala1479"
"1178",1359,"mand1436"
"1179",1360,"mart1256"
"1180",1361,"mart1256"
"1181",1362,"mund1320"
"1182",1363,"nang1259"
"1183",1364,"ngar1235"
"1184",1365,"cent1990"
"1185",1366,"ngom1268"
"1186",1367,"ngaj1237"
"1187",1368,"ngaj1237"
"1188",1369,"gily1242"
"1189",1370,"noga1249"
"1190",1371,"noga1249"
"1191",1372,"noga1249"
"1192",1373,"nuuc1236"
"1193",1374,"diti1235"
"1194",1375,"dani1285"
"1195",1376,"tase1235"
"1196",1377,"tase1235"
"1197",1378,"dogr1250"
"1198",1379,"sain1246"
"1199",1380,"dong1290"
"1200",1381,"dual1243"
"1201",1382,"doya1240"
"1202",1383,"toho1245"
"1203",1385,"sout2991"
"1204",1387,"tega1236"
"1205",1388,"darm1243"
"1206",1389,"roma1326"
"1207",1390,"roma1326"
"1208",1391,"roma1326"
"1209",1392,"darl1243"
"1210",1393,"balk1252"
"1211",1394,"balk1252"
"1212",1395,"vlax1238"
"1213",1396,"vlax1238"
"1214",1397,"ruka1240"
"1215",1398,"mold1248"
"1216",1399,"dara1250"
"1217",1400,"dutc1253"
"1218",1401,"daas1238"
"1219",1403,"shos1248"
"1220",1404,"chad1249"
"1221",1405,"chad1249"
"1222",1406,"cana1258"
"1223",1407,"bosn1245"
"1224",1408,"stra1244"
"1225",1409,"stra1244"
"1226",1410,"stra1244"
"1227",1411,"stra1244"
"1228",1412,"stra1244"
"1229",1413,"suri1267"
"1230",1414,"suri1267"
"1231",1415,"nort2638"
"1232",1416,"daur1238"
"1233",1417,"tami1289"
"1234",1418,"tewa1260"
"1235",1419,"tewa1260"
"1236",1420,"taha1241"
"1237",1421,"taha1241"
"1238",1422,"jadd1243"
"1239",1423,"spit1240"
"1240",1424,"tibe1272"
"1241",1425,"tibe1272"
"1242",1427,"tigr1270"
"1243",1428,"taly1247"
"1244",1429,"taly1247"
"1245",1430,"tama1331"
"1246",1431,"tata1255"
"1247",1432,"tata1255"
"1248",1433,"tzel1254"
"1249",1434,"tzel1254"
"1250",1435,"cent2194"
"1251",1436,"duna1248"
"1252",1437,"huns1239"
"1253",1438,"dumb1241"
"1254",1439,"dumi1241"
"1255",1440,"dutc1256"
"1256",1441,"utes1238"
"1257",1444,"krym1236"
"1258",1445,"patw1248"
"1259",1446,"east2295"
"1260",1447,"east2295"
"1261",1448,"east2295"
"1262",1450,"djim1235"
"1263",1451,"yoku1256"
"1264",1452,"yoku1256"
"1265",1454,"dyul1238"
"1266",1455,"hava1248"
"1267",1456,"hava1248"
"1268",1457,"hava1248"
"1269",1458,"yulu1243"
"1270",1459,"dyaa1242"
"1271",1460,"copa1236"
"1272",1461,"zulu1248"
"1273",1462,"zulu1248"
"1274",1463,"bini1246"
"1275",1464,"eipo1242"
"1276",1465,"koti1238"
"1277",1466,"west2409"
"1278",1467,"tuva1244"
"1279",1468,"emai1241"
"1280",1469,"emba1238"
"1281",1470,"muss1246"
"1282",1471,"ital1282"
"1283",1472,"nort2972"
"1284",1473,"enge1239"
"1285",1474,"engg1245"
"1286",1475,"enga1252"
"1287",1476,"siee1239"
"1288",1477,"esee1248"
"1289",1478,"nort2945"
"1290",1479,"esse1238"
"1291",1480,"esto1258"
"1292",1482,"edol1239"
"1293",1483,"yekh1238"
"1294",1484,"ejag1239"
"1295",1485,"ewon1239"
"1296",1486,"fasu1242"
"1297",1487,"palo1243"
"1298",1488,"queb1245"
"1299",1489,"nobi1240"
"1300",1490,"kali1308"
"1301",1491,"fefe1239"
"1302",1492,"fonn1241"
"1303",1493,"foii1241"
"1304",1494,"fore1270"
"1305",1495,"sira1267"
"1306",1496,"ford1242"
"1307",1497,"guia1246"
"1308",1498,"west2354"
"1309",1499,"nort2626"
"1310",1500,"east2288"
"1311",1501,"nucl1594"
"1312",1502,"finn1310"
"1313",1503,"fren1243"
"1314",1504,"pula1263"
"1315",1505,"east2447"
"1316",1506,"pula1262"
"1317",1507,"west2454"
"1318",1508,"maas1239"
"1319",1509,"fuln1247"
"1320",1510,"furu1242"
"1321",1511,"nige1253"
"1322",1512,"fwai1237"
"1323",1513,"gaan1243"
"1324",1514,"gaaa1244"
"1325",1515,"guar1293"
"1326",1516,"gaga1249"
"1327",1517,"alek1238"
"1328",1518,"gads1258"
"1329",1519,"bora1271"
"1330",1520,"west2721"
"1331",1521,"band1352"
"1332",1522,"kara1476"
"1333",1523,"gale1259"
"1334",1524,"bodo1267"
"1335",1526,"gbar1246"
"1336",1527,"mali1284"
"1337",1528,"gude1246"
"1338",1529,"gudu1252"
"1339",1530,"laal1242"
"1340",1531,"ghod1238"
"1341",1532,"kire1240"
"1342",1533,"gade1242"
"1343",1534,"enya1247"
"1344",1535,"patp1243"
"1345",1536,"gura1252"
"1346",1537,"nort2702"
"1347",1538,"kenu1236"
"1348",1539,"guhu1244"
"1349",1540,"kitj1240"
"1350",1541,"gida1247"
"1351",1542,"hinu1240"
"1352",1543,"nort3047"
"1353",1544,"guja1252"
"1354",1545,"guja1253"
"1355",1546,"goka1239"
"1356",1547,"dhan1270"
"1357",1548,"gula1265"
"1358",1549,"gila1241"
"1359",1550,"gali1258"
"1360",1551,"gula1269"
"1361",1552,"guma1253"
"1362",1553,"gure1255"
"1363",1554,"guro1248"
"1364",1555,"play1240"
"1365",1556,"godi1239"
"1366",1557,"gogo1265"
"1367",1558,"gola1255"
"1368",1559,"cerm1238"
"1369",1560,"goro1270"
"1370",1561,"goro1259"
"1371",1562,"kist1241"
"1372",1563,"germ1281"
"1373",1564,"gree1271"
"1374",1565,"guat1253"
"1375",1566,"guaj1255"
"1376",1567,"guri1247"
"1377",1568,"guah1255"
"1378",1569,"east2555"
"1379",1570,"guam1248"
"1380",1571,"guay1257"
"1381",1572,"ache1246"
"1382",1573,"fare1241"
"1383",1574,"gour1243"
"1384",1575,"gusi1247"
"1385",1576,"guan1268"
"1386",1577,"guan1269"
"1387",1578,"goli1247"
"1388",1579,"kuku1273"
"1389",1580,"gavi1246"
"1390",1581,"guma1254"
"1391",1582,"kala1373"
"1392",1583,"gaww1239"
"1393",1584,"kwin1241"
"1394",1585,"weso1238"
"1395",1586,"nort2775"
"1396",1587,"garu1246"
"1397",1588,"gayo1244"
"1398",1589,"guny1241"
"1399",1590,"gura1251"
"1400",1592,"nort2938"
"1401",1593,"hakk1236"
"1402",1594,"hala1252"
"1403",1595,"hara1271"
"1404",1596,"hais1244"
"1405",1597,"hait1244"
"1406",1598,"hawa1247"
"1407",1599,"haya1250"
"1408",1600,"huic1243"
"1409",1601,"hehe1240"
"1410",1602,"heil1246"
"1411",1603,"hemb1242"
"1412",1604,"here1253"
"1413",1605,"lama1288"
"1414",1606,"hida1246"
"1415",1607,"hili1240"
"1416",1608,"hund1239"
"1417",1609,"hali1244"
"1418",1610,"halb1244"
"1419",1611,"hmar1241"
"1420",1612,"hani1248"
"1421",1613,"hanu1241"
"1422",1614,"hoav1238"
"1423",1615,"hooo1248"
"1424",1616,"holo1240"
"1425",1617,"hree1244"
"1426",1618,"hars1241"
"1427",1619,"mini1256"
"1428",1620,"huam1247"
"1429",1621,"hupa1239"
"1430",1622,"tsat1238"
"1431",1623,"halk1245"
"1432",1624,"muru1274"
"1433",1625,"sanm1287"
"1434",1626,"nupo1240"
"1435",1627,"sabu1255"
"1436",1628,"hawa1245"
"1437",1629,"iaai1238"
"1438",1630,"iatm1242"
"1439",1631,"iban1264"
"1440",1632,"ibib1240"
"1441",1633,"iwai1244"
"1442",1634,"iban1267"
"1443",1635,"icel1236"
"1444",1636,"idom1241"
"1445",1637,"bata1298"
"1446",1638,"teke1274"
"1447",1639,"ebir1243"
"1448",1640,"iged1239"
"1449",1641,"igna1246"
"1450",1642,"ihaa1241"
"1451",1643,"ilaa1246"
"1452",1644,"ilok1237"
"1453",1645,"anam1248"
"1454",1646,"inga1252"
"1455",1647,"dege1248"
"1456",1648,"indi1237"
"1457",1649,"iowa1245"
"1458",1650,"iqui1243"
"1459",1651,"irar1238"
"1460",1652,"isna1241"
"1461",1653,"ital1275"
"1462",1654,"iris1235"
"1463",1655,"nkem1242"
"1464",1656,"isra1236"
"1465",1657,"isok1239"
"1466",1658,"isek1239"
"1467",1659,"itaw1240"
"1468",1660,"itza1241"
"1469",1661,"iumi1238"
"1470",1662,"ivat1242"
"1471",1663,"iwam1256"
"1472",1664,"ixca1245"
"1473",1665,"ixil1251"
"1474",1666,"ingr1248"
"1475",1667,"izie1238"
"1476",1668,"jama1261"
"1477",1669,"yabe1254"
"1478",1670,"jama1262"
"1479",1671,"java1254"
"1480",1672,"yaqa1246"
"1481",1673,"jara1263"
"1482",1674,"aran1237"
"1483",1675,"djeo1235"
"1484",1676,"juku1254"
"1485",1677,"jebe1250"
"1486",1678,"jehh1245"
"1487",1679,"yeii1239"
"1488",1680,"yelm1242"
"1489",1681,"mane1266"
"1490",1682,"jeha1242"
"1491",1683,"toll1241"
"1492",1684,"jino1236"
"1493",1685,"yamd1240"
"1494",1686,"jang1254"
"1495",1687,"yems1235"
"1496",1688,"japr1238"
"1497",1689,"japa1238"
"1498",1690,"jurc1239"
"1499",1691,"juan1238"
"1500",1692,"hupd1244"
"1501",1693,"juru1256"
"1502",1694,"core1262"
"1503",1695,"kara1467"
"1504",1696,"chag1250"
"1505",1697,"kara1482"
"1506",1698,"kala1400"
"1507",1699,"xaas1235"
"1508",1700,"bezh1248"
"1509",1701,"capa1241"
"1510",1702,"kase1253"
"1511",1703,"kawa1283"
"1512",1704,"kama1373"
"1513",1705,"kaza1248"
"1514",1706,"kadi1248"
"1515",1707,"kane1243"
"1516",1708,"kabi1261"
"1517",1709,"kama1370"
"1518",1710,"kafa1242"
"1519",1711,"dera1245"
"1520",1712,"apma1241"
"1521",1713,"tyap1238"
"1522",1714,"kala1384"
"1523",1715,"kela1255"
"1524",1716,"nubi1253"
"1525",1717,"katl1237"
"1526",1718,"kaia1245"
"1527",1719,"kami1256"
"1528",1720,"kete1252"
"1529",1721,"mako1251"
"1530",1722,"temm1241"
"1531",1723,"kara1483"
"1532",1724,"kago1247"
"1533",1725,"kirg1245"
"1534",1726,"kara1464"
"1535",1727,"east1472"
"1536",1728,"khan1278"
"1537",1729,"keii1239"
"1538",1730,"kekc1242"
"1539",1731,"keny1279"
"1540",1732,"kukn1238"
"1541",1733,"koda1255"
"1542",1734,"kond1295"
"1543",1736,"koya1251"
"1544",1737,"kork1243"
"1545",1738,"kuma1273"
"1546",1739,"kusu1250"
"1547",1740,"kaiw1246"
"1548",1741,"kain1272"
"1549",1742,"kamo1255"
"1550",1743,"abun1252"
"1551",1744,"kumb1268"
"1552",1745,"kura1250"
"1553",1746,"luuu1242"
"1554",1747,"badi1247"
"1555",1748,"lusi1240"
"1556",1749,"kuoo1238"
"1557",1750,"khar1287"
"1558",1751,"khva1239"
"1559",1752,"khow1242"
"1560",1753,"kimm1246"
"1561",1754,"kick1244"
"1562",1755,"kits1249"
"1563",1756,"kamb1297"
"1564",1757,"kete1254"
"1565",1758,"huba1236"
"1566",1759,"nucl1379"
"1567",1760,"qanj1241"
"1568",1761,"coas1295"
"1569",1762,"kisa1266"
"1570",1763,"khak1248"
"1571",1764,"kunj1245"
"1572",1765,"pwoe1235"
"1573",1766,"kash1280"
"1574",1767,"gela1261"
"1575",1768,"kagu1239"
"1576",1769,"koko1269"
"1577",1770,"kosa1249"
"1578",1771,"teke1280"
"1579",1772,"gugu1255"
"1580",1773,"kili1268"
"1581",1774,"gami1243"
"1582",1775,"kulu1253"
"1583",1776,"nand1264"
"1584",1777,"rumu1243"
"1585",1778,"khal1275"
"1586",1779,"kala1372"
"1587",1780,"klao1243"
"1588",1781,"konn1242"
"1589",1782,"kala1397"
"1590",1784,"kwom1262"
"1591",1785,"kemt1242"
"1592",1786,"kank1243"
"1593",1787,"west2635"
"1594",1788,"konk1267"
"1595",1789,"kana1291"
"1596",1790,"kany1247"
"1597",1791,"kaci1244"
"1598",1792,"cogu1240"
"1599",1793,"komo1260"
"1600",1795,"kols1241"
"1601",1796,"konk1269"
"1602",1797,"lagw1237"
"1603",1798,"koyu1237"
"1604",1799,"curr1243"
"1605",1800,"kpel1252"
"1606",1801,"kapi1249"
"1607",1802,"kara1500"
"1608",1803,"kpan1246"
"1609",1804,"koho1244"
"1610",1805,"ikpo1238"
"1611",1806,"kora1294"
"1612",1807,"kara1474"
"1613",1808,"kory1246"
"1614",1809,"kups1238"
"1615",1810,"koit1244"
"1616",1812,"kyer1238"
"1617",1813,"kere1280"
"1618",1814,"kare1335"
"1619",1815,"gbay1288"
"1620",1816,"kryt1240"
"1621",1817,"sham1280"
"1622",1818,"bafi1243"
"1623",1819,"kosr1238"
"1624",1820,"kumy1244"
"1625",1821,"kwaa1269"
"1626",1823,"winy1241"
"1627",1824,"keda1252"
"1628",1825,"koka1244"
"1629",1826,"kalk1246"
"1630",1827,"kari1311"
"1631",1828,"kuot1243"
"1632",1829,"kitu1246"
"1633",1830,"east1236"
"1634",1831,"kato1244"
"1635",1832,"juho1239"
"1636",1833,"bord1248"
"1637",1834,"gwic1235"
"1638",1835,"kuma1280"
"1639",1836,"kuni1267"
"1640",1837,"kari1317"
"1641",1838,"uppe1438"
"1642",1839,"kunz1244"
"1643",1840,"bagv1239"
"1644",1841,"kuii1252"
"1645",1842,"kore1273"
"1646",1843,"kuru1302"
"1647",1844,"dobe1238"
"1648",1845,"kola1285"
"1649",1846,"daww1239"
"1650",1847,"kwai1243"
"1651",1848,"nucl1595"
"1652",1849,"kwan1273"
"1653",1850,"kair1263"
"1654",1851,"kuvi1243"
"1655",1852,"kyak1244"
"1656",1853,"kara1487"
"1657",1854,"keng1240"
"1658",1855,"bara1370"
"1659",1856,"west2466"
"1660",1857,"daak1235"
"1661",1858,"kela1258"
"1662",1859,"coas1294"
"1663",1860,"lamb1271"
"1664",1861,"laca1243"
"1665",1862,"patt1248"
"1666",1863,"lafo1243"
"1667",1864,"lang1320"
"1668",1865,"lauj1238"
"1669",1866,"arib1241"
"1670",1867,"lakk1238"
"1671",1868,"tina1246"
"1672",1869,"lave1248"
"1673",1870,"lach1248"
"1674",1871,"lamu1254"
"1675",1872,"lard1243"
"1676",1873,"luch1239"
"1677",1874,"tung1290"
"1678",1875,"lega1249"
"1679",1876,"lend1245"
"1680",1877,"lyel1241"
"1681",1878,"lele1264"
"1682",1879,"leng1262"
"1683",1880,"lese1243"
"1684",1881,"kara1486"
"1685",1882,"ledo1238"
"1686",1883,"luan1263"
"1687",1884,"long1395"
"1688",1885,"laha1250"
"1689",1886,"ital1282"
"1690",1887,"lill1248"
"1691",1888,"ling1263"
"1692",1889,"lisu1250"
"1693",1890,"lith1251"
"1694",1891,"livv1244"
"1695",1892,"band1344"
"1696",1893,"lamp1243"
"1697",1894,"pari1256"
"1698",1895,"ladi1250"
"1699",1896,"lele1276"
"1700",1897,"nort2836"
"1701",1898,"lauu1247"
"1702",1899,"peve1243"
"1703",1900,"hano1246"
"1704",1901,"lamb1269"
"1705",1902,"lake1258"
"1706",1903,"mbal1255"
"1707",1904,"occi1239"
"1708",1905,"lund1271"
"1709",1906,"lobi1245"
"1710",1907,"logo1259"
"1711",1908,"louu1245"
"1712",1909,"loko1255"
"1713",1910,"loma1260"
"1714",1911,"loni1238"
"1715",1912,"lozi1239"
"1716",1913,"nort2645"
"1717",1914,"lush1249"
"1718",1915,"leti1246"
"1719",1916,"luba1249"
"1720",1917,"luba1250"
"1721",1918,"onto1237"
"1722",1919,"luok1236"
"1723",1920,"lush1252"
"1724",1921,"luxe1241"
"1725",1922,"luyi1234"
"1726",1923,"lund1266"
"1727",1924,"luwo1239"
"1728",1925,"lewo1242"
"1729",1926,"lazz1240"
"1730",1927,"nort2951"
"1731",1928,"east2328"
"1732",1929,"mank1251"
"1733",1930,"chiq1250"
"1734",1931,"ngil1242"
"1735",1932,"mamp1244"
"1736",1933,"mayo1264"
"1737",1934,"cent2144"
"1738",1935,"west2555"
"1739",1936,"macu1259"
"1740",1937,"mola1238"
"1741",1938,"nade1244"
"1742",1939,"maca1259"
"1743",1940,"mala1522"
"1744",1941,"mais1250"
"1745",1942,"nuka1242"
"1746",1943,"mati1250"
"1747",1944,"mari1435"
"1748",1945,"mach1267"
"1749",1946,"shar1245"
"1750",1947,"mats1244"
"1751",1948,"mapo1246"
"1752",1949,"maqu1238"
"1753",1950,"mala1533"
"1754",1951,"masa1322"
"1755",1952,"coat1238"
"1756",1953,"maka1304"
"1757",1954,"meny1245"
"1758",1955,"mada1282"
"1759",1956,"mbum1254"
"1760",1957,"moks1248"
"1761",1958,"magu1243"
"1762",1959,"mamv1243"
"1763",1960,"mang1394"
"1764",1961,"sout2785"
"1765",1962,"mbol1247"
"1766",1963,"mber1257"
"1767",1964,"male1284"
"1768",1965,"mara1385"
"1769",1966,"mido1240"
"1770",1967,"meya1236"
"1771",1968,"meke1243"
"1772",1969,"cent2101"
"1773",1970,"motu1246"
"1774",1971,"mann1248"
"1775",1972,"hass1238"
"1776",1973,"meno1252"
"1777",1974,"mbaa1245"
"1778",1975,"mori1278"
"1779",1976,"wand1278"
"1780",1977,"mand1419"
"1781",1978,"mend1266"
"1782",1979,"moru1253"
"1783",1980,"makl1246"
"1784",1981,"male1289"
"1785",1983,"mamb1296"
"1786",1984,"mail1248"
"1787",1985,"matu1259"
"1788",1986,"mbug1240"
"1789",1987,"besi1244"
"1790",1988,"madi1260"
"1791",1989,"madu1247"
"1792",1990,"mung1266"
"1793",1991,"moss1236"
"1794",1992,"mand1442"
"1795",1993,"mand1446"
"1796",1994,"mehr1241"
"1797",1995,"marm1234"
"1798",1996,"maru1249"
"1799",1997,"maan1238"
"1800",1998,"morm1235"
"1801",1999,"miam1252"
"1802",2000,"atat1238"
"1803",2001,"mikm1235"
"1804",2002,"nucl1706"
"1805",2003,"ocot1243"
"1806",2004,"mofu1248"
"1807",2005,"sanm1295"
"1808",2006,"chay1249"
"1809",2007,"mika1239"
"1810",2008,"peno1244"
"1811",2009,"alac1244"
"1812",2010,"pino1237"
"1813",2011,"ayut1236"
"1814",2012,"coat1241"
"1815",2013,"sanj1281"
"1816",2014,"manx1243"
"1817",2015,"manc1252"
"1818",2016,"tuuu1240"
"1819",2017,"kimm1245"
"1820",2018,"matu1261"
"1821",2019,"mala1464"
"1822",2020,"karb1241"
"1823",2021,"shek1243"
"1824",2022,"mawc1242"
"1825",2023,"miya1266"
"1826",2024,"mace1250"
"1827",2025,"sila1250"
"1828",2027,"malo1243"
"1829",2028,"mana1298"
"1830",2029,"mogh1245"
"1831",2030,"mula1253"
"1832",2031,"barg1252"
"1833",2032,"west2500"
"1834",2033,"malt1254"
"1835",2034,"toab1237"
"1836",2035,"motl1237"
"1837",2036,"nyan1301"
"1838",2037,"maee1241"
"1839",2038,"mama1275"
"1840",2039,"mamm1241"
"1841",2040,"miga1249"
"1842",2041,"mbul1263"
"1843",2042,"umbu1257"
"1844",2043,"east2333"
"1845",2044,"east2426"
"1846",2045,"moki1238"
"1847",2046,"renn1242"
"1848",2047,"monn1252"
"1849",2048,"mani1235"
"1850",2049,"moni1261"
"1851",2050,"moco1246"
"1852",2051,"mont1268"
"1853",2052,"mahi1248"
"1854",2053,"mong1342"
"1855",2054,"moha1258"
"1856",2055,"moro1289"
"1857",2056,"mong1338"
"1858",2057,"mono1275"
"1859",2058,"mopa1243"
"1860",2059,"bari1297"
"1861",2060,"moha1256"
"1862",2061,"shek1244"
"1863",2062,"muku1242"
"1864",2063,"maja1242"
"1865",2064,"mart1256"
"1866",2065,"mbar1260"
"1867",2066,"yoso1239"
"1868",2067,"mati1255"
"1869",2068,"dadi1250"
"1870",2069,"mina1268"
"1871",2070,"mama1276"
"1872",2071,"maga1260"
"1873",2072,"west2600"
"1874",2073,"mang1405"
"1875",2074,"mlab1235"
"1876",2075,"west2418"
"1877",2076,"misi1242"
"1878",2077,"mara1382"
"1879",2078,"west2392"
"1880",2079,"chek1238"
"1881",2080,"nort2845"
"1882",2081,"mara1378"
"1883",2082,"nucl1440"
"1884",2083,"made1252"
"1885",2084,"nucl1452"
"1886",2085,"maka1311"
"1887",2086,"muso1238"
"1888",2087,"arua1260"
"1889",2088,"mono1273"
"1890",2089,"muri1260"
"1891",2090,"mbee1250"
"1892",2091,"toto1305"
"1893",2092,"muon1246"
"1894",2093,"mund1325"
"1895",2094,"musg1254"
"1896",2095,"mund1326"
"1897",2096,"nucl1240"
"1898",2097,"mund1327"
"1899",2098,"murs1242"
"1900",2099,"mana1295"
"1901",2100,"matt1238"
"1902",2101,"mamm1241"
"1903",2102,"peri1253"
"1904",2103,"mina1269"
"1905",2104,"mudb1240"
"1906",2105,"mwer1248"
"1907",2106,"ment1249"
"1908",2107,"hmon1333"
"1909",2108,"miju1243"
"1910",2109,"nucl1458"
"1911",2110,"tlah1239"
"1912",2111,"jami1235"
"1913",2112,"mada1293"
"1914",2113,"maho1249"
"1915",2114,"nige1255"
"1916",2115,"mbay1241"
"1917",2116,"myen1241"
"1918",2117,"meen1242"
"1919",2118,"muna1247"
"1920",2119,"mund1330"
"1921",2120,"erzy1239"
"1922",2121,"muyu1244"
"1923",2122,"macu1260"
"1924",2123,"tumz1238"
"1925",2124,"wich1264"
"1926",2125,"mars1254"
"1927",2126,"maza1291"
"1928",2127,"naba1256"
"1929",2128,"naga1394"
"1930",2129,"guer1241"
"1931",2130,"west2624"
"1932",2131,"naka1262"
"1933",2132,"nali1244"
"1934",2133,"nang1259"
"1935",2134,"napu1241"
"1936",2135,"isth1242"
"1937",2136,"narr1259"
"1938",2137,"chan1313"
"1939",2138,"naxi1245"
"1940",2139,"maon1238"
"1941",2140,"ngar1235"
"1942",2141,"ngur1261"
"1943",2142,"sout2689"
"1944",2143,"yale1246"
"1945",2144,"nort2957"
"1946",2145,"mich1245"
"1947",2146,"chum1261"
"1948",2147,"ndon1254"
"1949",2148,"samb1305"
"1950",2149,"ndun1249"
"1951",2150,"ndut1239"
"1952",2151,"ndog1248"
"1953",2152,"kuma1276"
"1954",2153,"negi1245"
"1955",2154,"sout2808"
"1956",2155,"neng1238"
"1957",2156,"nafa1258"
"1958",2157,"ngba1285"
"1959",2158,"ngom1268"
"1960",2159,"ngem1255"
"1961",2160,"ngiz1242"
"1962",2161,"ngal1292"
"1963",2162,"orok1266"
"1964",2163,"ngon1269"
"1965",2164,"bouy1240"
"1966",2165,"beng1286"
"1967",2166,"cent2132"
"1968",2167,"isth1241"
"1969",2168,"noon1243"
"1970",2169,"ngan1295"
"1971",2170,"niel1243"
"1972",2171,"nyih1240"
"1973",2172,"ngan1291"
"1974",2173,"nias1242"
"1975",2174,"niue1239"
"1976",2175,"ning1273"
"1977",2176,"noct1238"
"1978",2177,"loth1237"
"1979",2178,"aona1235"
"1980",2179,"ngad1258"
"1981",2180,"inpu1234"
"1982",2181,"nkon1245"
"1983",2182,"nuku1260"
"1984",2183,"gela1263"
"1985",2184,"bign1238"
"1986",2185,"ndum1239"
"1987",2186,"tang1336"
"1988",2187,"kwas1243"
"1989",2188,"nort2867"
"1990",2189,"nank1250"
"1991",2190,"nami1256"
"1992",2191,"nant1249"
"1993",2192,"woun1238"
"1994",2193,"noga1249"
"1995",2194,"laoo1244"
"1996",2195,"noma1263"
"1997",2196,"narp1239"
"1998",2197,"neap1235"
"1999",2198,"ngar1287"
"2000",2199,"naro1251"
"2001",2201,"naur1243"
"2002",2202,"lala1268"
"2003",2203,"nsen1242"
"2004",2204,"nask1242"
"2005",2205,"norw1255"
"2006",2206,"sumi1235"
"2007",2207,"neha1247"
"2008",2208,"lamn1239"
"2009",2209,"nort2968"
"2010",2210,"nise1244"
"2011",2211,"ngaa1240"
"2012",2212,"nate1242"
"2013",2213,"ntom1248"
"2014",2214,"nort2959"
"2015",2215,"nusu1239"
"2016",2216,"niua1240"
"2017",2217,"nung1282"
"2018",2218,"nupe1254"
"2019",2219,"nuer1246"
"2020",2220,"nung1283"
"2021",2221,"nort2784"
"2022",2222,"mehe1243"
"2023",2223,"sout2869"
"2024",2224,"ngad1261"
"2025",2225,"ngaw1240"
"2026",2226,"nyan1308"
"2027",2227,"chew1246"
"2028",2228,"nyam1277"
"2029",2229,"nyan1307"
"2030",2230,"nyan1313"
"2031",2231,"nyor1246"
"2032",2232,"nyun1247"
"2033",2233,"nyaw1247"
"2034",2234,"nyam1276"
"2035",2235,"nzak1247"
"2036",2236,"zeme1240"
"2037",2237,"newz1236"
"2038",2238,"orok1265"
"2039",2239,"oroc1248"
"2040",2240,"ocai1244"
"2041",2241,"atzi1235"
"2042",2242,"ogbi1239"
"2043",2243,"ogbr1243"
"2044",2244,"east2542"
"2045",2245,"seve1240"
"2046",2246,"okan1243"
"2047",2247,"okuu1243"
"2048",2248,"omah1247"
"2049",2249,"east2443"
"2050",2250,"omag1248"
"2051",2251,"oloo1241"
"2052",2252,"onon1246"
"2053",2253,"onoo1246"
"2054",2254,"orej1242"
"2055",2255,"orok1269"
"2056",2256,"orok1267"
"2057",2257,"adiv1239"
"2058",2258,"ormu1247"
"2059",2259,"osag1243"
"2060",2260,"ixte1237"
"2061",2261,"east2556"
"2062",2262,"quer1236"
"2063",2263,"otor1240"
"2064",2264,"taga1278"
"2065",2265,"waya1270"
"2066",2266,"oyyy1238"
"2067",2267,"pare1272"
"2068",2268,"paco1243"
"2069",2269,"papi1253"
"2070",2270,"pali1279"
"2071",2271,"pana1305"
"2072",2272,"pech1241"
"2073",2273,"mezo1235"
"2074",2274,"coyo1236"
"2075",2275,"park1239"
"2076",2276,"pang1287"
"2077",2277,"cent2145"
"2078",2278,"shwe1236"
"2079",2279,"duru1236"
"2080",2280,"pait1244"
"2081",2281,"nige1257"
"2082",2282,"tokp1240"
